,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400
0.0,10.0,10.0,9.91,9.91,9.91,9.91,9.91,9.82,9.82,9.82,9.82,9.73,9.73,9.73,9.73,9.64,9.64,9.64,9.55,9.55,9.55,9.55,9.46,9.46,9.46,9.46,9.37,9.37,9.37,9.37,9.28,9.28,9.28,9.28,9.28,9.19,9.19,9.19,9.19,9.1,9.1
0.1,0.0,10.0,19.91,29.91,39.91,49.91,59.91,69.82,79.82,89.82,99.82,109.73,119.73,129.73,139.73,149.64,159.64,169.64,179.55,189.55,199.55,209.55,219.46,229.46,239.46,249.46,259.37,269.37,279.37,289.37,299.28,309.28,319.28,329.28,339.28,349.19,359.19,369.19,379.19,389.1,399.1
0.2,0.0,0.0,19.91,29.91,39.91,49.91,59.91,69.82,79.82,89.82,99.82,109.73,119.73,129.73,139.73,149.64,159.64,169.64,179.55,189.55,199.55,209.55,219.46,229.46,239.46,249.46,259.37,269.37,279.37,289.37,299.28,309.28,319.28,329.28,339.28,349.19,359.19,369.19,379.19,389.1,399.1
0.3,20.0,20.0,19.91,19.91,19.91,19.91,19.91,19.82,19.82,19.82,19.82,19.73,19.73,19.73,19.73,19.64,19.64,19.64,19.55,19.55,19.55,19.55,19.46,19.46,19.46,19.46,19.37,19.37,19.37,19.37,19.28,19.28,19.28,19.28,19.28,19.19,19.19,19.19,19.19,19.1,19.1
0.4,0.0,0.0,19.91,19.91,19.91,19.91,19.91,19.82,19.82,19.82,19.82,19.73,19.73,19.73,19.73,19.64,19.64,19.64,19.55,19.55,19.55,19.55,19.46,19.46,19.46,19.46,19.37,19.37,19.37,19.37,19.28,19.28,19.28,19.28,19.28,19.19,19.19,19.19,19.19,19.1,19.1
0.5,20.0,20.0,19.91,19.91,19.91,19.91,19.91,19.82,19.82,19.82,19.82,19.73,19.73,19.73,19.73,19.64,19.64,19.64,19.55,19.55,19.55,19.55,19.46,19.46,19.46,19.46,19.37,19.37,19.37,19.37,19.28,19.28,19.28,19.28,19.28,19.19,19.19,19.19,19.19,19.1,19.1
0.6,20.0,20.0,389.91,389.91,389.91,389.91,389.91,389.82,389.82,389.82,389.82,389.73,389.73,389.73,389.73,389.64,389.64,389.64,389.55,389.55,389.55,389.55,389.46,389.46,389.46,389.46,389.37,389.37,389.37,389.37,389.28,389.28,389.28,389.28,389.28,389.19,389.19,389.19,389.19,389.1,389.1
0.7,20.0,20.0,19.91,19.91,19.91,19.91,19.91,19.82,19.82,19.82,19.82,19.73,19.73,19.73,19.73,19.64,19.64,19.64,19.55,19.55,19.55,19.55,19.46,19.46,19.46,19.46,19.37,19.37,19.37,19.37,19.28,19.28,19.28,19.28,19.28,19.19,19.19,19.19,19.19,19.1,19.1
0.8,0.0,0.0,389.91,389.91,389.91,389.91,389.91,389.82,389.82,389.82,389.82,389.73,389.73,389.73,389.73,389.64,389.64,389.64,389.55,389.55,389.55,389.55,389.46,389.46,389.46,389.46,389.37,389.37,389.37,389.37,389.28,389.28,389.28,389.28,389.28,389.19,389.19,389.19,389.19,389.1,389.1
0.9,390.0,390.0,389.91,389.91,389.91,389.91,389.91,389.82,389.82,389.82,389.82,389.73,389.73,389.73,389.73,389.64,389.64,389.64,389.55,389.55,389.55,389.55,389.46,389.46,389.46,389.46,389.37,389.37,389.37,389.37,389.28,389.28,389.28,389.28,389.28,389.19,389.19,389.19,389.19,389.1,389.1
1.0,390.0,390.0,9.91,9.91,9.91,9.91,9.91,9.82,9.82,9.82,9.82,9.73,9.73,9.73,9.73,9.64,9.64,9.64,9.55,9.55,9.55,9.55,9.46,9.46,9.46,9.46,9.37,9.37,9.37,9.37,9.28,9.28,9.28,9.28,9.28,9.19,9.19,9.19,9.19,9.1,9.1
