,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400
0.0,0.0,0.0,389.91,389.91,389.91,389.91,389.91,389.82,389.82,389.82,389.82,389.73,389.73,389.73,389.73,389.64,389.64,389.64,389.55,389.55,389.55,389.55,389.46,389.46,389.46,389.46,389.37,389.37,389.37,389.37,389.28,389.28,389.28,389.28,389.28,389.19,389.19,389.19,389.19,389.1,389.1
0.1,0.0,0.0,9.91,9.91,9.91,9.91,9.91,9.82,9.82,9.82,9.82,9.73,9.73,9.73,9.73,9.64,9.64,9.64,9.55,9.55,9.55,9.55,9.46,9.46,9.46,9.46,9.37,9.37,9.37,9.37,9.28,9.28,9.28,9.28,9.28,9.19,9.19,9.19,9.19,9.1,9.1
0.2,0.0,0.0,9.91,9.91,9.91,9.91,9.91,9.82,9.82,9.82,9.82,9.73,9.73,9.73,9.73,9.64,9.64,9.64,9.55,9.55,9.55,9.55,9.46,9.46,9.46,9.46,9.37,9.37,9.37,9.37,9.28,9.28,9.28,9.28,9.28,9.19,9.19,9.19,9.19,9.1,9.1
0.3,0.0,0.0,9.91,9.91,9.91,9.91,9.91,9.82,9.82,9.82,9.82,9.73,9.73,9.73,9.73,9.64,9.64,9.64,9.55,9.55,9.55,9.55,9.46,9.46,9.46,9.46,9.37,9.37,9.37,9.37,9.28,9.28,9.28,9.28,9.28,9.19,9.19,9.19,9.19,9.1,9.1
0.4,0.0,0.0,9.91,9.91,9.91,9.91,9.91,9.82,9.82,9.82,9.82,9.73,9.73,9.73,9.73,9.64,9.64,9.64,9.55,9.55,9.55,9.55,9.46,9.46,9.46,9.46,9.37,9.37,9.37,9.37,9.28,9.28,9.28,9.28,9.28,9.19,9.19,9.19,9.19,9.1,9.1
0.5,0.0,0.0,9.91,9.91,9.91,9.91,9.91,9.82,9.82,9.82,9.82,9.73,9.73,9.73,9.73,9.64,9.64,9.64,9.55,9.55,9.55,9.55,9.46,9.46,9.46,9.46,9.37,9.37,9.37,9.37,9.28,9.28,9.28,9.28,9.28,9.19,9.19,9.19,9.19,9.1,9.1
0.6,0.0,0.0,9.91,9.91,9.91,9.91,9.91,9.82,9.82,9.82,9.82,9.73,9.73,9.73,9.73,9.64,9.64,9.64,9.55,9.55,9.55,9.55,9.46,9.46,9.46,9.46,9.37,9.37,9.37,9.37,9.28,9.28,9.28,9.28,9.28,9.19,9.19,9.19,9.19,9.1,9.1
0.7,0.0,0.0,9.91,9.91,9.91,9.91,9.91,9.82,9.82,9.82,9.82,9.73,9.73,9.73,9.73,9.64,9.64,9.64,9.55,9.55,9.55,9.55,9.46,9.46,9.46,9.46,9.37,9.37,9.37,9.37,9.28,9.28,9.28,9.28,9.28,9.19,9.19,9.19,9.19,9.1,9.1
0.8,0.0,0.0,9.91,9.91,9.91,9.91,9.91,9.82,9.82,9.82,9.82,9.73,9.73,9.73,9.73,9.64,9.64,9.64,9.55,9.55,9.55,9.55,9.46,9.46,9.46,9.46,9.37,9.37,9.37,9.37,9.28,9.28,9.28,9.28,9.28,9.19,9.19,9.19,9.19,9.1,9.1
0.9,0.0,0.0,9.91,9.91,9.91,9.91,9.91,9.82,9.82,9.82,9.82,9.73,9.73,9.73,9.73,9.64,9.64,9.64,9.55,9.55,9.55,9.55,9.46,9.46,9.46,9.46,9.37,9.37,9.37,9.37,9.28,9.28,9.28,9.28,9.28,9.19,9.19,9.19,9.19,9.1,9.1
1.0,0.0,390.0,9.91,9.91,9.91,9.91,9.91,9.82,9.82,9.82,9.82,9.73,9.73,9.73,9.73,9.64,9.64,9.64,9.55,9.55,9.55,9.55,9.46,9.46,9.46,9.46,9.37,9.37,9.37,9.37,9.28,9.28,9.28,9.28,9.28,9.19,9.19,9.19,9.19,9.1,9.1
